SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Asian,9,24,35,12,N/A,N/A,N/A,33,47,80,11.3,30.0,43.8,15.0,N/A,N/A,N/A,41.3,58.8,2093.20,25.80,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Male,27,198,624,523,N/A,N/A,N/A,225,1147,1372,2.0,14.4,45.5,38.1,N/A,N/A,N/A,16.4,83.6,2078.30,20.50,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Female,21,276,876,409,N/A,N/A,N/A,297,1285,1582,1.3,17.4,55.4,25.9,N/A,N/A,N/A,18.8,81.2,2082.30,18.50,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,English Learners,3,46,198,178,N/A,N/A,N/A,49,376,425,<=1%,*,46.6,41.9,N/A,N/A,N/A,11.5,88.5,2075.50,17.50,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,45,428,1302,754,N/A,N/A,N/A,473,2056,2529,1.8,16.9,51.5,29.8,N/A,N/A,N/A,18.7,81.3,2081.30,19.80,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,<3,*,125,210,N/A,N/A,N/A,7,335,342,<=1%,*,36.5,61.4,N/A,N/A,N/A,2.0,98.0,2067.30,12.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,103,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2070.30,13.00,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,3,68,72,N/A,N/A,N/A,3,140,143,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2069.90,12.90,N/A,*,*,*,*,*
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,3,65,68,N/A,N/A,N/A,3,133,136,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2069.80,13.00,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,<3,3,66,70,N/A,N/A,N/A,3,136,139,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2070.00,12.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Hispanic of Any Race,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,White,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,<3,*,*,N/A,N/A,N/A,<3,*,92,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2069.10,12.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Female,<3,<3,*,*,N/A,N/A,N/A,<3,*,51,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2071.40,12.80,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,English Learners,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,<3,3,67,72,N/A,N/A,N/A,3,139,142,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2069.90,12.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,40,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2068.90,12.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,<3,<3,*,*,N/A,N/A,N/A,<3,*,44,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2074.70,12.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,<3,*,*,N/A,N/A,N/A,<3,*,25,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2073.50,13.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Female,<3,<3,*,*,N/A,N/A,N/A,<3,*,19,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2076.20,10.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,<3,<3,*,*,N/A,N/A,N/A,<3,*,44,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2074.70,12.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,43,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2074.70,12.30,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,<3,*,*,N/A,N/A,N/A,<3,*,44,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2074.70,12.20,N/A,*,*,*,*,*
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,<3,*,*,N/A,N/A,N/A,<3,*,41,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2075.00,12.40,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,29,Davis Aerospace Technical High School at Golightly,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,3,48,34,N/A,N/A,N/A,3,82,85,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2071.80,13.70,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,*,56,54,N/A,N/A,N/A,4,110,114,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2070.70,13.60,N/A,*,*,*,*,*
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,*,50,46,N/A,N/A,N/A,4,96,100,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2071.10,14.00,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,<3,<3,*,*,N/A,N/A,N/A,<3,*,14,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2067.90,9.00,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,<3,*,56,53,N/A,N/A,N/A,4,109,113,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2070.80,13.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,White,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,<3,*,*,N/A,N/A,N/A,<3,*,57,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2070.60,15.10,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Female,<3,<3,*,*,N/A,N/A,N/A,<3,*,57,<=10%,<=10%,*,*,N/A,N/A,N/A,<=10%,>=90%,2070.90,11.80,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,<3,*,56,54,N/A,N/A,N/A,4,110,114,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2070.70,13.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,29,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2067.60,12.70,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,23,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2070.50,11.20,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,<3,*,*,N/A,N/A,N/A,<3,*,28,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2069.50,11.90,N/A,*,*,*,*,*
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,<3,*,*,N/A,N/A,N/A,<3,*,25,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2069.60,12.50,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,<3,<3,*,*,N/A,N/A,N/A,<3,*,17,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2072.80,10.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Hispanic of Any Race,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,White,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Asian,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Female,<3,<3,*,*,N/A,N/A,N/A,<3,*,28,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2069.50,11.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,English Learners,<3,<3,*,*,N/A,N/A,N/A,<3,*,11,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2064.50,11.60,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,<3,<3,*,*,N/A,N/A,N/A,<3,*,17,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2072.80,10.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,27,171,268,39,N/A,N/A,N/A,198,307,505,5.3,33.9,53.1,7.7,N/A,N/A,N/A,39.2,60.8,2094.60,19.80,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,27,171,271,39,N/A,N/A,N/A,198,310,508,5.3,33.7,53.3,7.7,N/A,N/A,N/A,39.0,61.0,2094.50,19.70,N/A,2045,2154,2079.00,2092.00,2105.00
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,17,134,207,26,N/A,N/A,N/A,151,233,384,4.4,34.9,53.9,6.8,N/A,N/A,N/A,39.3,60.7,2094.40,19.40,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,10,37,64,13,N/A,N/A,N/A,47,77,124,8.1,29.8,51.6,10.5,N/A,N/A,N/A,37.9,62.1,2094.90,20.90,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,American Indian or Alaska Native,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
18 - 19 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,554,Cass Technical High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,18,129,233,33,N/A,N/A,N/A,147,266,413,4.4,31.2,56.4,8.0,N/A,N/A,N/A,35.6,64.4,2093.50,18.90,N/A,N/A,N/A,N/A,N/A,N/A
