SchoolYear,TestType,TestPopulation,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,Locale,MISTEM_NAME,MISTEM_CODE,GradeContentTested,Subject,ReportCategory,TotalAdvanced,TotalProficient,TotalPartiallyProficient,TotalNotProficient,TotalSurpassed,TotalAttained,TotalEmergingTowards,TotalMet,TotalDidNotMeet,NumberAssessed,PercentAdvanced,PercentProficient,PercentPartiallyProficient,PercentNotProficient,PercentSurpassed,PercentAttained,PercentEmergingTowards,PercentMet,PercentDidNotMeet,AvgSS,StdDevSS,MeanPtsEarned,MinScaleScore,MaxScaleScore,ScaleScore25,ScaleScore50,ScaleScore75
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Science,Male,<3,*,16,39,N/A,N/A,N/A,7,55,62,<=5%,*,25.8,62.9,N/A,N/A,N/A,11.3,88.7,2065.50,25.50,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Science,Female,<3,<3,*,*,N/A,N/A,N/A,<3,*,102,<=5%,<=5%,*,*,N/A,N/A,N/A,<=5%,>=95%,2063.90,19.40,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Science,English Learners,<3,<3,*,*,N/A,N/A,N/A,<3,*,15,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2056.80,18.20,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Science,Not English Learners,<3,*,48,92,N/A,N/A,N/A,9,140,149,<=5%,*,32.2,61.7,N/A,N/A,N/A,6.0,94.0,2065.30,22.20,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Science,Students With Disabilities,<3,<3,<3,*,N/A,N/A,N/A,<3,*,22,<=20%,<=20%,<=20%,>=80%,N/A,N/A,N/A,<=20%,>=80%,2051.00,16.00,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,4,36,81,18,N/A,N/A,N/A,40,99,139,<=5%,*,58.3,12.9,N/A,N/A,N/A,28.8,71.2,2088.70,20.50,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,All Students,5,38,91,27,N/A,N/A,N/A,43,118,161,<=5%,*,56.5,16.8,N/A,N/A,N/A,26.7,73.3,2087.10,20.80,N/A,2043,2149,2072.00,2084.00,2100.00
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,*,63,23,N/A,N/A,N/A,16,86,102,<=5%,*,61.8,22.5,N/A,N/A,N/A,15.7,84.3,2082.10,18.50,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,3,24,28,4,N/A,N/A,N/A,27,32,59,<=10%,*,*,<=10%,N/A,N/A,N/A,45.8,54.2,2095.70,21.70,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,4,34,80,26,N/A,N/A,N/A,38,106,144,<=5%,*,55.6,18.1,N/A,N/A,N/A,26.4,73.6,2087.00,20.60,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Hispanic of Any Race,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Female,4,25,62,11,N/A,N/A,N/A,29,73,102,<=5%,*,60.8,10.8,N/A,N/A,N/A,28.4,71.6,2088.50,19.50,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,English Learners,<3,3,*,<3,N/A,N/A,N/A,3,12,15,<=50%,<=50%,>=50%,<=50%,N/A,N/A,N/A,<=50%,>=50%,2082.20,12.80,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,5,35,80,26,N/A,N/A,N/A,40,106,146,<=5%,*,54.8,17.8,N/A,N/A,N/A,27.4,72.6,2087.60,21.40,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,<3,<3,10,9,N/A,N/A,N/A,3,19,22,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2076.70,19.40,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,White,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Two or More Races,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Asian,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,0,All Buildings,82,Wayne,LEA District,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,*,29,16,N/A,N/A,N/A,14,45,59,<=10%,*,49.2,27.1,N/A,N/A,N/A,23.7,76.3,2084.50,22.60,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,*,*,*,*,*
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Female,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Students Without Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,All Students,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,*,*,*,*,*
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Black or African American,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Male,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Female,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Not English Learners,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,18,Cody High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Not English Learners,<3,<3,*,*,N/A,N/A,N/A,<3,*,16,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2069.80,15.00,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,All Students,<3,<3,*,*,N/A,N/A,N/A,<3,*,18,<=20%,<=20%,<=20%,>=80%,N/A,N/A,N/A,<=20%,>=80%,2045.20,18.80,N/A,*,*,*,*,*
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Economically Disadvantaged,<3,<3,*,*,N/A,N/A,N/A,<3,*,18,<=20%,<=20%,<=20%,>=80%,N/A,N/A,N/A,<=20%,>=80%,2045.20,18.80,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Black or African American,<3,<3,*,*,N/A,N/A,N/A,<3,*,18,<=20%,<=20%,<=20%,>=80%,N/A,N/A,N/A,<=20%,>=80%,2045.20,18.80,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Male,<3,<3,<3,*,N/A,N/A,N/A,<3,*,10,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2046.80,21.60,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Female,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,English Learners,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Not English Learners,<3,<3,<3,*,N/A,N/A,N/A,<3,*,16,<=20%,<=20%,<=20%,>=80%,N/A,N/A,N/A,<=20%,>=80%,2041.00,15.40,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Students With Disabilities,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Students Without Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,14,<=50%,<=50%,>=50%,<=50%,N/A,N/A,N/A,<=50%,>=50%,2075.10,17.10,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,<3,*,*,N/A,N/A,N/A,<3,*,18,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2072.70,16.40,N/A,*,*,*,*,*
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,<3,<3,*,*,N/A,N/A,N/A,<3,*,18,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2072.70,16.40,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,<3,<3,*,*,N/A,N/A,N/A,<3,*,18,<=20%,<=20%,*,*,N/A,N/A,N/A,<=20%,>=80%,2072.70,16.40,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Male,<3,<3,*,*,N/A,N/A,N/A,<3,*,10,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2068.90,16.40,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,Female,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Social Studies,English Learners,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,32,Osborn High School,82,Wayne,LEA School,High School,City: Large,Wayne Region,3,11,Science,Students Without Disabilities,<3,<3,*,*,N/A,N/A,N/A,<3,*,14,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2046.50,20.60,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Science,Students Without Disabilities,<3,<3,<3,*,N/A,N/A,N/A,<3,*,12,<=50%,<=50%,<=50%,>=50%,N/A,N/A,N/A,<=50%,>=50%,2055.60,18.80,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,All Students,<3,3,*,<3,N/A,N/A,N/A,3,9,12,<=50%,<=50%,>=50%,<=50%,N/A,N/A,N/A,<=50%,>=50%,2081.50,14.30,N/A,*,*,*,*,*
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Not Economically Disadvantaged,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Native Hawaiian or Other Pacific Islander,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
20 - 21 School Year,M-STEP,N/A,82,Wayne RESA,82015,Detroit Public Schools Community District,39,Detroit International Academy for Young Women,82,Wayne,LEA School,Elem thru High School,City: Large,Wayne Region,3,11,Social Studies,Black or African American,*,*,*,*,N/A,N/A,N/A,*,*,<10,*,*,*,*,N/A,N/A,N/A,*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
