"SchoolYear","IsdCode","IsdName","DistrictCode","DistrictName","BuildingName","BuildingCode","EntityType","Grade","Subject","TestingGroup","NumberAboveAverageGrowth","NumberAverageGrowth","NumberBelowAverageGrowth","PercentAboveAverage","PercentAverageGrowth","PercentBelowAverage","TotalIncluded","MeanSGP"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","Hispanic","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","Male","< 10","11","21","20.00","27.50","52.50","40","38.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","Female","< 10","< 10","17","< 5","19.00","81.00","21","19.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","English Learners","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","Not English Learners","< 10","15","37","13.30","25.00","61.70","60","32.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","Not Migrant","< 10","15","38","13.10","24.60","62.30","61","32.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Students without Disabilities","546","1077","1189","19.40","38.30","42.30","2812","41.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Students without Disabilities","465","1068","1412","15.80","36.30","47.90","2945","37.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Students without Disabilities","491","873","1025","20.60","36.50","42.90","2389","41.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Mathematics","Students without Disabilities","679","853","676","30.80","38.60","30.60","2208","50.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Mathematics","Students without Disabilities","787","960","737","31.70","38.60","29.70","2484","51.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","06","Mathematics","Students without Disabilities","855","1090","801","31.10","39.70","29.20","2746","51.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Mathematics","Students without Disabilities","3823","5921","5840","24.50","38.00","37.50","15584","45.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","All Students","994","1878","2026","20.30","38.30","41.40","4898","41.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Economically Disadvantaged","834","1594","1733","20.00","38.30","41.60","4161","41.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Not Economically Disadvantaged","160","284","293","21.70","38.50","39.80","737","42.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Black, not of Hispanic origin","771","1566","1684","19.20","38.90","41.90","4021","41.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Hispanic","166","233","268","24.90","34.90","40.20","667","44.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","White, not of Hispanic origin","< 10","34","28","12.70","47.90","39.40","71","38.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Asian","43","37","37","36.80","31.60","31.60","117","50.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Male","465","824","1000","20.30","36.00","43.70","2289","40.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Female","529","1054","1026","20.30","40.40","39.30","2609","42.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","English Learners","136","200","261","22.80","33.50","43.70","597","41.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Not English Learners","858","1678","1765","19.90","39.00","41.00","4301","41.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Social Studies","Not Migrant","994","1878","2026","20.30","38.30","41.40","4898","41.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","All Students","482","886","972","20.60","37.90","41.50","2340","42.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Economically Disadvantaged","420","792","863","20.20","38.20","41.60","2075","41.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Not Economically Disadvantaged","62","94","109","23.40","35.50","41.10","265","43.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Black, not of Hispanic origin","329","701","818","17.80","37.90","44.30","1848","39.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Hispanic","119","146","118","31.10","38.10","30.80","383","50.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","White, not of Hispanic origin","< 10","20","16","16.30","46.50","37.20","43","41.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Asian","26","12","16","48.10","22.20","29.60","54","57.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Male","255","416","482","22.10","36.10","41.80","1153","42.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Female","227","470","490","19.10","39.60","41.30","1187","41.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","English Learners","94","124","111","28.60","37.70","33.70","329","47.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Not English Learners","388","762","861","19.30","37.90","42.80","2011","41.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Social Studies","Not Migrant","482","886","972","20.60","37.90","41.50","2340","42.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","All Students","512","992","1054","20.00","38.80","41.20","2558","41.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Economically Disadvantaged","414","802","870","19.80","38.40","41.70","2086","41.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Not Economically Disadvantaged","98","190","184","20.80","40.30","39.00","472","42.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Black, not of Hispanic origin","442","865","866","20.30","39.80","39.90","2173","42.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Hispanic","47","87","150","16.50","30.60","52.80","284","36.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","White, not of Hispanic origin","< 10","14","12","7.10","50.00","42.90","28","35.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Asian","17","25","21","27.00","39.70","33.30","63","44.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Male","210","408","518","18.50","35.90","45.60","1136","39.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Female","302","584","536","21.20","41.10","37.70","1422","43.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","English Learners","42","76","150","15.70","28.40","56.00","268","33.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Not English Learners","470","916","904","20.50","40.00","39.50","2290","42.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Social Studies","Not Migrant","512","992","1054","20.00","38.80","41.20","2558","41.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Science","Students with Disabilities","< 10","15","38","13.10","24.60","62.30","61","32.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","All Grades","Science","Students with Disabilities","< 10","15","38","13.10","24.60","62.30","61","32.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Mathematics","Male","437","576","513","28.60","37.70","33.60","1526","48.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Mathematics","Female","443","567","435","30.70","39.20","30.10","1445","50.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Mathematics","English Learners","134","141","133","32.80","34.60","32.60","408","50.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Mathematics","Not English Learners","746","1002","815","29.10","39.10","31.80","2563","49.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","07","Mathematics","Not Migrant","880","1143","948","29.60","38.50","31.90","2971","49.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","All Students","641","1231","1389","19.70","37.70","42.60","3261","41.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Economically Disadvantaged","569","1120","1269","19.20","37.90","42.90","2958","40.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Not Economically Disadvantaged","72","111","120","23.80","36.60","39.60","303","43.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Black, not of Hispanic origin","484","949","1116","19.00","37.20","43.80","2549","40.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Hispanic","105","235","211","19.10","42.60","38.30","551","42.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","White, not of Hispanic origin","30","30","31","33.00","33.00","34.10","91","48.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Two or More Races","< 10","< 10","< 10","13.30","33.30","53.30","15","33.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Asian","18","< 10","21","38.30","17.00","44.70","47","49.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Male","300","590","723","18.60","36.60","44.80","1613","39.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Female","341","641","666","20.70","38.90","40.40","1648","42.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","English Learners","119","225","213","21.40","40.40","38.20","557","43.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Not English Learners","522","1006","1176","19.30","37.20","43.50","2704","40.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","05","Mathematics","Not Migrant","641","1231","1389","19.70","37.70","42.60","3261","41.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","All Students","521","1187","1636","15.60","35.50","48.90","3344","37.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Economically Disadvantaged","473","1082","1508","15.40","35.30","49.20","3063","37.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Not Economically Disadvantaged","48","105","128","17.10","37.40","45.60","281","39.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Black, not of Hispanic origin","355","951","1351","13.40","35.80","50.80","2657","35.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Hispanic","138","192","208","25.70","35.70","38.70","538","46.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","White, not of Hispanic origin","20","29","41","22.20","32.20","45.60","90","40.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Two or More Races","< 10","< 10","< 10","16.70","41.70","41.70","12","45.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Asian","< 10","< 10","31","11.40","18.20","70.50","44","24.40"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Male","261","558","843","15.70","33.60","50.70","1662","37.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Female","260","629","793","15.50","37.40","47.10","1682","37.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","English Learners","143","200","239","24.60","34.40","41.10","582","44.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Not English Learners","378","987","1397","13.70","35.70","50.60","2762","35.60"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","04","Mathematics","Not Migrant","521","1187","1636","15.60","35.50","48.90","3344","37.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","All Students","524","986","1163","19.60","36.90","43.50","2673","40.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Economically Disadvantaged","424","786","966","19.50","36.10","44.40","2176","40.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Not Economically Disadvantaged","100","200","197","20.10","40.20","39.60","497","42.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Black, not of Hispanic origin","416","826","993","18.60","37.00","44.40","2235","40.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Hispanic","87","124","120","26.30","37.50","36.30","331","45.30"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","White, not of Hispanic origin","< 10","15","16","8.80","44.10","47.10","34","34.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Two or More Races","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Asian","14","20","29","22.20","31.70","46.00","63","40.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Male","236","449","518","19.60","37.30","43.10","1203","41.20"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Female","288","537","645","19.60","36.50","43.90","1470","40.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","English Learners","65","117","127","21.00","37.90","41.10","309","41.90"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Not English Learners","459","869","1036","19.40","36.80","43.80","2364","40.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","11","Mathematics","Not Migrant","524","986","1163","19.60","36.90","43.50","2673","40.80"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Mathematics","All Students","765","1021","858","28.90","38.60","32.50","2644","49.10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Mathematics","Economically Disadvantaged","668","911","754","28.60","39.00","32.30","2333","49.00"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Mathematics","Not Economically Disadvantaged","97","110","104","31.20","35.40","33.40","311","49.70"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Mathematics","Native Hawaiian or Other Pacific Islander","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Mathematics","American Indian or Alaska Native","< 10","< 10","< 10","< 10","< 10","< 10","< 10","< 10"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Mathematics","Black, not of Hispanic origin","562","797","718","27.10","38.40","34.60","2077","47.50"
"2017-2018",82,"Wayne RESA",82015,"Detroit Public Schools Community District","All Buildings",0,"LEA District","08","Mathematics","Hispanic","157","167","105","36.60","38.90","24.50","429","55.70"
